1 2.141103
2 2.141725
3 2.156154
4 2.156721
5 -1.043437
6 -1.051046
7 -1.056058
8 -1.039998
9 -0.691753
10 -0.687943
11 -0.655703
12 -0.929679
13 -0.922720
14 -0.664184
15 2.154648
16 2.176474
17 2.131844
18 2.172032
19 -1.048388
20 -1.050103
21 -1.055640
22 -1.039911
23 -0.694331
24 -0.666621
25 -0.694982
26 -0.922196
27 -0.923863
28 -0.672295
29 2.172247
30 2.141725
31 2.156154
32 2.195436
33 -1.043437
34 -1.049730
35 -1.057282
36 -1.039998
37 -0.902356
38 -0.687943
39 -0.655703
40 -0.929616
41 -0.906733
42 -0.691244
43 2.154867
44 2.176474
45 2.131844
46 2.183270
47 -1.048388
48 -1.054034
49 -1.054311
50 -1.039911
51 -0.666621
52 -0.694983
53 -0.922216
54 -0.904150
55 -0.681159
